Employee_number,Employee_name,Employee_age,Maritial_Status,Current_Salary,Number_of_Children,years_experience,past_projects,current_projects,Divorced_earlier,Father_alive,Mother_alive,performance_rating,Education_level,Department,Role,Job_Satisfaction,Work_Life_Balance,is_outlier
10110,Karen Lewis,57,True,91663,3,22,3,2,No,Yes,Yes,4,Master's,Operations,Operations Coordinator,10.0,5.8272935766281675,0
10111,John Singh,55,False,75664,0,32,6,2,No,Yes,Yes,3,Bachelor's,Operations,Ops Manager,1.7674014110545055,10.0,0
10113,John Anderson,19,False,68755,0,0,0,2,No,Yes,Yes,3,Master's,Support,Customer Specialist,7.881125561821835,1.0,0
10114,Vikram Taylor,29,True,71821,0,4,8,0,No,Yes,Yes,3,High School,HR,HR Executive,10.0,5.749351570998828,0
10115,John Williams,31,False,65835,2,0,10,2,No,Yes,Yes,4,Bachelor's,Support,Customer Specialist,5.960456855596858,5.404744712567494,0
10117,Arun Miller,28,False,80248,3,0,4,0,No,Yes,Yes,3,Bachelor's,Sales,Account Executive,5.811985908184109,10.0,0
10124,Nina Thompson,48,False,72469,1,24,8,3,No,Yes,Yes,5,Master's,HR,HR Executive,10.0,4.4544050830764865,0
10126,David Gupta,37,True,92102,0,0,6,1,Yes,Yes,No,3,Diploma,R&D,Researcher,10.0,6.1734940175205315,0
10131,Leo Williams,27,False,86237,2,6,2,3,Yes,Yes,Yes,2,Bachelor's,Operations,Operations Coordinator,10.0,3.1316504930475597,0
10133,Daniel Sharma,38,True,81909,1,17,6,3,No,Yes,Yes,2,Bachelor's,Operations,Ops Manager,7.493818941246714,3.8206227226868634,0
10136,Emily Wilson,35,True,87673,1,12,0,3,No,Yes,Yes,3,Diploma,HR,HR Executive,2.6829392812283333,7.573473449570211,0
10138,Priya Lewis,25,True,74783,0,0,14,0,Yes,Yes,Yes,4,Diploma,Engineering,ML Engineer,6.2036474863542015,8.91420296443048,0
10140,Sophia Sharma,35,False,77683,0,8,6,2,Yes,Yes,Yes,3,Master's,Engineering,DevOps Engineer,7.465967678934201,2.984014948612737,0
10141,Olivia Sharma,21,False,64992,2,0,11,3,No,Yes,Yes,3,Bachelor's,HR,HR Executive,1.0,10.0,0
10144,Luke Thomas,31,True,95078,2,6,12,2,No,Yes,No,3,Diploma,Support,Customer Specialist,2.4641697269922176,4.380751163387225,0
10148,Luke Thompson,25,True,80489,1,0,4,1,No,Yes,Yes,4,Diploma,Engineering,Software Engineer,9.651526214135785,4.395353066628882,0
10159,Karen Sharma,28,True,58456,2,0,4,0,No,Yes,Yes,2,High School,Support,Customer Specialist,7.233986709360792,3.842445593873109,0
10161,Olivia Taylor,57,False,82264,1,16,2,1,No,Yes,Yes,3,High School,HR,HR Executive,6.692208911171896,10.0,0
10162,Rohit Davis,45,True,96912,1,22,0,1,No,Yes,No,3,Master's,Operations,Ops Manager,6.0840480344752725,1.0,0
10164,Arun Singh,25,True,61207,0,0,3,1,No,Yes,Yes,2,Bachelor's,HR,HR Manager,10.0,6.111678758906341,0
10166,Daniel Gupta,30,True,63086,3,7,14,1,No,Yes,Yes,4,Bachelor's,Operations,Ops Manager,7.664084417988425,6.521236022464448,0
10173,Arun Kumar,39,True,92146,0,17,12,0,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,3.6398241414301173,4.512105313229689,0
10175,Ananya Thompson,32,False,88249,1,0,11,0,No,Yes,Yes,4,High School,Sales,Sales Manager,7.545891339106464,4.394109761137275,0
10191,Nina Miller,27,False,59070,0,0,9,2,No,Yes,Yes,2,Bachelor's,Support,Customer Specialist,10.0,4.160021490726052,0
10196,Arun Brown,37,True,94257,3,0,3,1,No,Yes,Yes,4,Master's,Support,Customer Specialist,10.0,1.832437711579677,0
10203,Luke Lewis,41,True,60612,1,17,3,2,No,Yes,Yes,3,PhD,Sales,Sales Manager,4.905182250680685,7.8840459459890475,0
10208,Arun Thomas,45,True,66454,1,20,8,2,Yes,Yes,Yes,5,Bachelor's,Finance,Analyst,4.734003616287811,2.160205549010752,0
10211,Vikram Lewis,28,False,63888,3,0,11,0,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,9.176283063269494,1.5041992486549747,0
10212,John Thomas,38,False,70536,0,14,5,3,No,Yes,Yes,3,Diploma,Operations,Operations Coordinator,4.845624836540013,5.945127845073839,0
10213,Vikram Gupta,35,False,64279,1,12,6,0,No,Yes,Yes,3,High School,Sales,Sales Manager,10.0,6.401771847779738,0
10218,Priya Taylor,23,True,83794,3,0,0,3,No,Yes,Yes,3,Diploma,HR,HR Executive,10.0,4.731886958003933,0
10221,Karen Thompson,35,False,96400,2,11,0,1,No,No,Yes,5,Master's,Support,Support Engineer,10.0,5.122981438358725,0
10226,Luke Williams,25,True,79397,0,0,8,1,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,2.9732198160040992,4.080976405932979,0
10227,David Williams,51,False,95303,1,26,14,0,No,Yes,Yes,4,High School,Operations,Ops Manager,5.589912394380951,5.131607855643908,0
10229,Leo Anderson,24,False,74119,1,0,1,0,No,Yes,Yes,4,Master's,Sales,Sales Manager,10.0,5.349417539960076,0
10240,Daniel Sharma,53,False,96522,1,20,2,1,Yes,Yes,Yes,3,Diploma,Operations,Ops Manager,7.280889578573664,4.0237915419076025,0
10244,Olivia Sharma,43,True,84946,2,18,11,0,No,Yes,Yes,3,Diploma,Support,Customer Specialist,8.998574395179471,4.29750538269544,0
10250,Ananya Singh,28,False,99039,0,0,12,0,No,No,No,4,High School,Engineering,DevOps Engineer,6.293251293508025,6.779665526653513,0
10253,Nina Taylor,26,True,68159,1,0,9,3,No,Yes,Yes,3,Master's,R&D,Researcher,7.707520973310171,9.453135777486247,0
10254,Sarah Brown,45,False,70289,0,5,12,2,No,No,Yes,3,Diploma,Sales,Account Executive,1.1309539669069837,10.0,0
10255,Daniel Lewis,27,True,89404,1,4,13,1,Yes,Yes,Yes,2,High School,Sales,Sales Manager,10.0,6.9820679539322,0
10256,Priya Taylor,18,False,76644,0,0,6,3,Yes,Yes,Yes,4,Diploma,Finance,Senior Analyst,6.597657638268262,7.2441497493532205,0
10258,Priya Iyer,25,False,98899,1,0,5,1,No,Yes,No,2,Diploma,Engineering,Software Engineer,9.1086569395921,2.2849375340095666,0
10261,Linda Patel,29,False,81653,3,7,0,0,No,Yes,Yes,3,Bachelor's,HR,HR Executive,10.0,6.469419545290599,0
10264,Sarah Williams,37,True,90301,1,4,8,0,No,Yes,Yes,4,Diploma,Finance,Senior Analyst,10.0,6.057222136345427,0
10267,Aisha Kumar,57,False,80191,2,15,9,2,No,Yes,Yes,4,High School,Finance,Senior Analyst,9.368697804647478,4.963737120381662,0
10268,Luke Iyer,37,True,86534,0,0,10,2,No,No,Yes,2,Bachelor's,Finance,Analyst,8.723790699490005,1.401148914732949,0
10272,Sarah Iyer,32,False,88805,3,4,3,2,No,Yes,Yes,2,Bachelor's,R&D,Scientist,9.031287664486346,2.3994832526760312,0
10273,Daniel Smith,36,False,64267,1,0,9,3,No,Yes,Yes,4,Bachelor's,Sales,Account Executive,10.0,9.598432241045314,0
10274,Daniel Davis,38,False,61702,0,0,12,3,No,Yes,Yes,4,Master's,Sales,Sales Manager,10.0,4.354644893495177,0
10278,Luke Smith,40,True,95309,2,14,7,3,No,Yes,Yes,2,Bachelor's,Support,Support Engineer,8.652343145678216,2.5436713835308904,1
10280,Sophia Davis,32,True,69602,0,10,14,2,No,Yes,Yes,3,Master's,R&D,Scientist,8.512659147016,1.0692421403255379,0
10281,Rohit Iyer,41,False,74976,0,3,9,3,No,No,Yes,4,Bachelor's,R&D,Researcher,10.0,6.861633215007638,0
10286,Rohit Thomas,43,True,82797,0,15,12,3,No,Yes,No,3,Bachelor's,Finance,Analyst,6.1820537465497925,9.018724343834396,0
10290,Leo Kumar,32,True,66545,1,4,11,3,No,Yes,Yes,3,Bachelor's,Engineering,ML Engineer,4.72110884085046,4.5589876430010525,0
10293,Linda Gupta,24,True,67088,0,0,1,0,No,Yes,Yes,3,Diploma,Sales,Account Executive,9.52831450025203,4.132215306775322,0
10300,Priya Brown,36,False,92902,1,2,9,0,No,Yes,Yes,1,Bachelor's,Operations,Ops Manager,8.7284564976227,1.0,0
10308,David Johnson,39,True,90365,2,16,8,1,Yes,Yes,Yes,3,Bachelor's,Support,Support Engineer,5.806131154845135,1.0,0
10311,Leo Kumar,38,True,67167,0,0,14,1,No,Yes,Yes,3,Master's,HR,HR Executive,7.371542257886202,3.520257413738121,0
10313,Kiran Sharma,42,True,64928,2,18,8,3,No,Yes,Yes,3,Bachelor's,HR,HR Executive,9.451408849755497,4.663298470944203,0
10317,Karen Thompson,47,True,66762,0,22,14,0,No,Yes,Yes,3,Master's,Operations,Ops Manager,5.200274380424959,1.0,0
10322,Aisha Williams,22,True,59464,1,0,13,2,No,No,Yes,3,Bachelor's,HR,HR Executive,9.663984968682538,3.8210459554107707,0
10323,Ananya Brown,19,True,72040,1,0,13,3,No,Yes,Yes,4,Master's,Finance,Analyst,7.900543310449306,8.860156496705631,0
10324,Daniel Miller,31,True,65141,0,4,13,0,Yes,Yes,No,1,Bachelor's,Engineering,Software Engineer,3.6775023824848487,2.1790282269355226,0
10330,Sarah Thompson,43,True,92935,1,19,7,0,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,10.0,3.209136190876693,0
10337,Linda Kumar,42,True,63562,1,16,6,1,No,Yes,Yes,2,Bachelor's,HR,HR Manager,10.0,4.082925339819523,0
10343,Emily Brown,24,True,81969,3,0,5,3,No,Yes,Yes,3,Bachelor's,Operations,Operations Coordinator,9.152418207696412,2.4882515030250696,0
10345,Leo Davis,44,False,74917,0,23,10,0,No,Yes,Yes,3,Diploma,Support,Customer Specialist,7.252816630704267,4.814176326965725,0
10346,Rohit Smith,56,False,81304,3,21,5,2,No,No,Yes,2,Master's,Operations,Ops Manager,6.19858014738062,3.1554275675036823,0
10350,Priya Thomas,45,False,59639,3,23,8,0,No,Yes,Yes,3,Master's,Sales,Sales Manager,3.9576784814728,10.0,0
10351,Rohit Wilson,37,False,67134,0,1,9,3,No,No,No,4,Bachelor's,Finance,Analyst,6.876573767530016,9.30274026121673,0
10352,David Wilson,42,True,65183,3,21,1,2,No,Yes,Yes,3,Diploma,Finance,Senior Analyst,10.0,1.2834353954032318,0
10358,Olivia Iyer,39,False,93757,2,0,7,2,No,No,No,4,Bachelor's,R&D,Researcher,10.0,3.375250770878009,0
10362,Karen Wilson,33,False,64149,3,11,14,2,Yes,Yes,Yes,3,Master's,Sales,Sales Manager,10.0,1.9638854504359307,0
10365,Luke Singh,47,False,64334,0,19,5,0,No,Yes,Yes,3,Diploma,Engineering,Software Engineer,10.0,5.795943628273012,0
10368,Michael Patel,28,True,83503,0,4,14,2,No,Yes,Yes,4,Diploma,Operations,Ops Manager,4.920161664849194,5.851789915698627,0
10381,John Wilson,41,True,74792,1,9,2,1,No,Yes,No,5,High School,Sales,Sales Manager,10.0,4.958831693333771,0
10383,Sophia Kumar,45,True,84278,0,8,10,2,No,Yes,Yes,3,Master's,Engineering,DevOps Engineer,2.5102528068556804,4.48121096969235,0
10385,Nina Taylor,25,True,77270,1,0,10,3,No,Yes,Yes,5,High School,Finance,Analyst,4.570220227219725,8.961907895782216,0
10386,Vikram Anderson,24,False,88500,2,0,4,0,Yes,Yes,No,3,Master's,Engineering,ML Engineer,4.400028674130857,4.668184662912622,0
10391,Arun Johnson,31,False,77072,1,0,5,0,Yes,Yes,No,3,High School,R&D,Scientist,6.850802307924401,6.770943878161374,0
10394,Ananya Miller,55,False,93335,3,22,12,1,Yes,No,Yes,2,Diploma,HR,HR Manager,10.0,3.316522230462981,0
10400,Rohit Brown,55,True,89789,0,16,9,3,No,Yes,Yes,2,Master's,Support,Customer Specialist,3.1593898676716123,4.2543107101381405,0
10401,Aisha Singh,38,True,70920,1,9,11,2,No,Yes,Yes,3,High School,Support,Support Engineer,8.817510484383206,1.273005025923065,0
10402,Sophia Lewis,38,True,70052,2,5,2,2,Yes,Yes,Yes,2,Diploma,HR,HR Manager,8.413622383631793,10.0,0
10408,Daniel Thompson,58,False,66843,3,37,0,2,No,No,No,3,High School,Finance,Senior Analyst,4.138099709969715,10.0,0
10410,Daniel Miller,29,False,70519,1,0,14,1,No,Yes,No,5,High School,Support,Support Engineer,1.0,7.877039311759981,0
10413,Karen Anderson,28,True,63030,3,4,14,3,Yes,Yes,Yes,3,Diploma,Operations,Operations Coordinator,10.0,2.139275459210447,0
10416,Michael Thomas,37,True,77164,0,13,3,0,No,Yes,No,1,Bachelor's,Operations,Operations Coordinator,9.563926521921516,8.124161836767872,0
10419,Vikram Gupta,47,True,71481,0,11,2,3,No,No,Yes,5,Diploma,R&D,Researcher,8.828766268672933,6.024209851044851,0
10424,Emily Miller,44,True,64493,3,22,0,0,No,Yes,Yes,3,Bachelor's,R&D,Researcher,10.0,1.0,0
10426,Leo Sharma,35,True,87405,0,1,6,0,No,Yes,Yes,3,Bachelor's,HR,HR Manager,10.0,1.0,0
10428,Sophia Wilson,40,False,72833,0,14,11,3,No,Yes,Yes,3,Diploma,HR,HR Executive,7.022342837187771,5.985577568580486,0
10431,Vikram Sharma,28,True,70399,0,1,9,2,Yes,No,Yes,4,Diploma,R&D,Scientist,10.0,1.0,0
10432,John Patel,18,False,75293,0,0,12,2,No,Yes,Yes,4,Diploma,Operations,Ops Manager,9.648835213470427,4.206594928683286,0
10437,Luke Gupta,21,True,73873,0,0,12,3,No,No,Yes,2,Diploma,Sales,Sales Manager,6.793301443932142,3.2164986084049736,0
10440,Daniel Singh,28,False,87530,2,0,4,2,No,No,No,3,Diploma,Sales,Sales Manager,10.0,6.476462625483644,0
10441,Aisha Walker,30,True,82214,0,7,13,1,Yes,Yes,Yes,3,Bachelor's,Engineering,ML Engineer,10.0,5.835553510026994,0
10442,Ananya Sharma,36,True,68557,0,12,12,2,No,Yes,No,3,Bachelor's,Finance,Senior Analyst,8.385924447990718,4.0983474377991245,0
10445,Vikram Taylor,35,True,83655,1,9,13,2,Yes,Yes,Yes,3,Bachelor's,Engineering,Software Engineer,7.775952934746189,2.863722160151139,0
10448,Aisha Thompson,26,True,67385,0,0,10,1,No,Yes,Yes,3,Bachelor's,Operations,Operations Coordinator,7.455097477851114,1.0,0
10450,Arun Anderson,54,False,61994,1,30,1,3,No,Yes,Yes,5,Bachelor's,Engineering,Software Engineer,10.0,10.0,0
10452,Vikram Johnson,29,True,79360,3,1,2,3,Yes,Yes,Yes,2,Bachelor's,Engineering,ML Engineer,6.186661737960948,9.670099214652703,0
10459,Priya Taylor,43,True,99140,0,5,2,1,Yes,No,Yes,3,Bachelor's,Sales,Account Executive,10.0,1.0,0
10462,Nina Lewis,38,False,83936,3,14,6,3,Yes,Yes,Yes,4,Bachelor's,HR,HR Manager,9.10664585342109,3.352198176241429,0
10463,Kiran Wilson,45,False,69907,2,16,4,2,No,No,Yes,3,Bachelor's,HR,HR Executive,2.4370643910117424,10.0,0
10465,John Brown,51,True,72455,3,21,14,2,No,Yes,Yes,2,Diploma,Sales,Sales Manager,7.021193052913574,5.838477365931196,0
10466,Sophia Smith,28,True,64376,1,6,11,0,No,Yes,Yes,2,High School,Support,Customer Specialist,10.0,5.175494157106312,0
10467,Daniel Smith,44,True,98587,1,20,2,3,No,No,No,5,Diploma,HR,HR Executive,4.798516853543422,2.4079202870811867,0
10469,David Patel,34,False,70218,0,10,10,2,Yes,Yes,No,3,Master's,Sales,Sales Manager,10.0,6.393589794060423,0
10471,Nina Miller,39,False,61139,1,10,3,3,Yes,Yes,Yes,3,Diploma,Support,Customer Specialist,6.132141468389632,6.898746067451354,0
10474,Rohit Wilson,30,False,87785,1,2,13,2,No,Yes,Yes,4,Master's,Sales,Sales Manager,4.7630576612894275,10.0,0
10476,Sarah Wilson,21,False,69758,2,0,8,3,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,4.983159526685656,2.8665046978689483,0
10482,Daniel Gupta,43,False,74983,1,19,0,0,No,No,Yes,4,High School,Support,Support Engineer,9.20731448735426,1.322328288631443,0
10496,Luke Kumar,30,True,75955,2,0,1,0,No,Yes,Yes,5,High School,Engineering,DevOps Engineer,6.121259776449524,1.637065997096954,0
10499,Daniel Thomas,32,True,71566,1,0,9,3,No,Yes,Yes,1,High School,R&D,Scientist,10.0,1.0,0
10503,Karen Thomas,45,True,68170,0,24,12,0,No,Yes,Yes,5,Bachelor's,Finance,Senior Analyst,6.104874143703158,7.8782570896597015,0
10508,Priya Thompson,41,True,73209,2,15,5,3,No,Yes,Yes,4,High School,Engineering,ML Engineer,10.0,1.5203237310728284,0
10511,Luke Williams,25,False,72986,0,0,3,3,Yes,Yes,Yes,1,Diploma,Operations,Operations Coordinator,10.0,7.288094134312166,0
10513,Nina Iyer,35,True,60398,2,12,9,3,No,Yes,No,3,Bachelor's,Finance,Analyst,4.110743187136592,2.507983532412877,0
10517,Luke Williams,33,False,62447,1,1,3,3,No,Yes,Yes,3,Bachelor's,Sales,Sales Manager,10.0,4.536992761658005,0
10519,Rohit Wilson,28,False,60731,0,4,10,1,Yes,No,Yes,4,High School,R&D,Scientist,4.650624937860222,1.0498793239032693,0
10521,David Williams,40,False,73650,1,11,9,0,No,Yes,Yes,4,Bachelor's,HR,HR Executive,8.626443190094875,1.6942124680137773,0
10522,Linda Johnson,36,True,74878,3,11,13,0,No,Yes,Yes,3,Master's,Support,Support Engineer,10.0,9.604049132933081,0
10525,Ananya Davis,44,True,64336,0,20,13,2,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,10.0,7.153276610891586,0
10528,Nina Taylor,32,False,70670,1,0,12,0,No,Yes,Yes,4,Bachelor's,Engineering,Software Engineer,8.533990370853896,5.944671740342175,0
10530,Karen Davis,51,False,61112,3,28,2,1,No,Yes,Yes,3,Bachelor's,R&D,Scientist,5.299276726380482,8.97110592171067,0
10532,Sophia Thomas,40,False,64102,1,11,9,0,No,Yes,Yes,2,Diploma,Finance,Senior Analyst,10.0,9.540907683863306,0
10535,Sophia Kumar,18,True,61335,0,0,0,3,No,Yes,No,3,Bachelor's,Support,Support Engineer,8.859914403557047,7.3594154807588765,0
10536,Sarah Patel,39,True,82105,3,15,13,0,No,No,Yes,4,Diploma,HR,HR Executive,7.559619068705538,7.38503560915275,0
10537,Karen Williams,35,False,75450,3,11,11,0,Yes,Yes,Yes,3,Bachelor's,R&D,Scientist,10.0,1.0,0
10538,Luke Iyer,19,False,90296,1,0,13,3,No,Yes,Yes,2,Bachelor's,Finance,Analyst,8.35015593473997,1.0,1
10542,Ananya Anderson,34,False,61345,3,8,10,2,Yes,No,Yes,3,Bachelor's,Support,Support Engineer,7.809235562225089,6.168609283684232,0
10543,Vikram Patel,18,True,58477,1,0,7,3,Yes,Yes,Yes,4,Bachelor's,Sales,Account Executive,6.88162314876482,7.9298377482571185,0
10549,Priya Davis,26,False,78717,2,0,1,3,No,Yes,Yes,3,Diploma,R&D,Researcher,5.4763101715197315,1.0,0
10551,Rohit Brown,51,False,94109,0,28,9,3,No,Yes,Yes,4,Diploma,Sales,Sales Manager,5.25435263009577,1.9112487428509022,0
10552,Daniel Johnson,40,False,92675,2,1,5,2,Yes,Yes,No,3,Bachelor's,Sales,Account Executive,4.929032623244086,9.111418078104112,0
10561,Vikram Miller,27,False,63637,3,2,10,3,No,Yes,Yes,3,Master's,Support,Customer Specialist,7.143726009738667,1.0840357250394472,0
10563,Priya Brown,21,False,86441,2,0,10,2,No,Yes,Yes,2,Bachelor's,Engineering,Software Engineer,10.0,3.358779405858763,0
10564,John Davis,38,True,87635,1,14,3,2,No,Yes,No,5,Diploma,HR,HR Manager,7.805513191567112,4.467339935681501,0
10566,Daniel Williams,23,True,62844,1,0,2,1,No,Yes,Yes,3,Bachelor's,HR,HR Manager,5.3655369725565105,2.737012700902605,0
10571,Nina Lewis,38,True,81554,2,0,4,1,No,Yes,Yes,3,Bachelor's,Operations,Ops Manager,10.0,5.295257492666707,0
10572,Nina Williams,26,False,74725,2,4,5,3,No,Yes,Yes,4,Bachelor's,Sales,Sales Manager,8.70471280595234,1.2497192091686893,0
10576,Daniel Sharma,40,True,77569,3,15,10,2,No,Yes,Yes,4,Master's,Engineering,DevOps Engineer,10.0,4.601437860886772,0
10577,Michael Gupta,26,False,70874,0,0,11,0,No,Yes,Yes,3,High School,Operations,Ops Manager,10.0,3.7905758911305596,0
10580,John Smith,33,False,72327,1,7,13,3,No,Yes,Yes,3,Master's,Support,Support Engineer,1.995607038721971,7.903376418868684,0
10581,Sophia Williams,40,False,67264,1,17,12,2,No,Yes,Yes,2,Master's,Finance,Analyst,9.604696636617474,2.4416088319152873,0
10582,Kiran Kumar,35,False,82539,0,6,3,1,No,Yes,Yes,5,Diploma,Support,Support Engineer,10.0,8.091284118706369,0
10586,Ananya Williams,18,True,91953,1,0,1,1,No,Yes,Yes,3,Bachelor's,HR,HR Executive,10.0,3.3846632754649586,0
10590,Sophia Wilson,34,True,81649,1,0,4,1,Yes,Yes,Yes,3,Bachelor's,R&D,Researcher,10.0,1.0804433145596133,0
10591,Rohit Gupta,18,False,64679,1,0,7,0,No,Yes,Yes,4,Master's,R&D,Researcher,8.016290338932652,1.0,0
10593,Priya Patel,44,True,85268,2,20,1,0,No,Yes,Yes,2,Master's,Finance,Analyst,9.793978530786319,2.8922221372632717,0
10595,Luke Taylor,38,True,72596,0,12,2,0,No,Yes,Yes,3,Bachelor's,Finance,Analyst,9.692585507776442,5.60543043052864,0
10596,Priya Taylor,30,True,76752,1,0,8,0,Yes,Yes,Yes,3,Diploma,Operations,Operations Coordinator,10.0,5.4322894137036,0
10598,Sophia Miller,38,True,59784,1,17,14,0,No,Yes,Yes,4,Bachelor's,Finance,Senior Analyst,4.138767611354696,3.410109950156788,0
10603,Karen Lewis,21,False,73036,0,0,2,1,No,Yes,Yes,3,High School,HR,HR Executive,8.223023892891979,10.0,0
10607,Emily Anderson,33,True,81490,2,0,14,3,No,Yes,Yes,3,Bachelor's,Support,Support Engineer,9.641550908517836,6.790465982085344,0
10608,Michael Iyer,44,False,68096,1,18,14,3,No,Yes,Yes,5,Bachelor's,R&D,Researcher,3.8754519108793266,8.062529428409425,0
